km;height
1646.76;154.1
1646.766;154.1
1646.776;154.1
1646.786;154.1
1646.795;154.1
1646.806;153.8
1646.82;153.5
1646.831;153.2
1646.836;153.2
1646.85;152.8
1646.86;152.6
1646.866;152.5
1646.875;152.3
1646.886;152.1
1646.899;151.8
1646.907;151.6
1646.921;151.3
1646.926;151.2
1646.936;151.6
1646.948;152
1646.959;152.3
1646.969;152.7
1646.98;153
1646.991;153.4
1646.996;153.5
1647.01;154.1
1647.016;154.3
1647.028;154.5
1647.039;154.7
1647.045;154.7
1647.057;154.8
1647.068;155
1647.079;155.1
1647.085;155.1
1647.097;155.3
1647.109;155.4
1647.115;155.5
1647.127;155.5
1647.139;155.6
1647.151;155.6
1647.156;155.6
1647.168;155.6
1647.18;155.7
1647.186;155.7
1647.197;155.7
1647.208;155.8
1647.22;155.7
1647.226;155.6
1647.238;155.5
1647.25;155.3
1647.256;155.2
1647.268;155
1647.279;154.9
1647.285;154.8
1647.297;154.6
1647.309;154.4
1647.321;154.4
1647.327;154.4
1647.339;154.5
1647.351;154.5
1647.356;154.6
1647.369;154.6
1647.38;154.7
1647.386;154.7
1647.398;154.7
1647.41;154.8
1647.416;154.9
1647.428;155
1647.439;155.1
1647.451;155.2
1647.457;155.3
1647.469;155.4
1647.48;155.5
1647.486;155.6
1647.498;155.7
1647.51;155.8
1647.516;155.8
1647.527;155.8
1647.536;155.8
1647.546;155.8
1647.556;155.8
1647.568;155.8
1647.579;155.8
1647.585;155.8
1647.597;155.8
1647.609;155.8
1647.62;155.7
1647.626;155.7
1647.638;155.7
1647.65;155.7
1647.656;155.7
1647.667;155.6
1647.679;155.6
1647.69;155.6
1647.696;155.6
1647.708;155.9
1647.719;156.4
1647.725;156.6
1647.737;157
1647.749;157.5
1647.761;157.9
1647.766;158.2
1647.778;158.6
1647.79;159.1
1647.796;159.3
1647.808;159.2
1647.82;159.1
1647.826;159
1647.837;159
1647.849;158.9
1647.861;158.8
1647.867;158.7
1647.879;158.7
1647.89;158.6
1647.896;158.7
1647.908;158.9
1647.919;159.2
1647.93;159.5
1647.936;159.7
1647.948;160
1647.96;160.3
1647.966;160.5
1647.977;160.7
1647.988;161
1648;161.4
1648.006;161.5
1648.018;161.8
1648.029;162.1
1648.041;162.4
1648.047;162.6
1648.058;162.9
1648.07;163.2
1648.076;163.3
1648.088;163.5
1648.097;163.7
1648.111;163.9
1648.116;164
1648.128;164.2
1648.14;164.3
1648.145;164.4
1648.157;164.6
1648.169;164.8
1648.18;164.9
1648.186;165
1648.198;165.2
1648.209;165.4
1648.22;165.5
1648.226;165.6
1648.237;165.8
1648.249;166
1648.26;166.2
1648.266;166.3
1648.277;166.4
1648.288;166.6
1648.3;166.4
1648.305;166.3
1648.317;166.2
1648.329;166
1648.341;165.8
1648.346;165.7
1648.358;165.6
1648.37;165.4
1648.376;165.3
1648.388;165.2
1648.399;164.9
1648.405;164.8
1648.417;164.5
1648.428;164.3
1648.44;164
1648.446;163.9
1648.457;163.7
1648.468;163.4
1648.479;163.2
1648.49;162.9
1648.496;162.8
1648.507;162.6
1648.518;162.5
1648.53;162.3
1648.535;162.2
1648.547;162
1648.558;161.8
1648.57;161.6
1648.575;161.5
1648.586;161.3
1648.598;160.8
1648.609;160.2
1648.621;159.5
1648.626;159.2
1648.638;158.6
1648.649;158
1648.655;157.7
1648.666;157.1
1648.678;156.5
1648.689;155.9
1648.695;155.6
1648.707;155.1
1648.718;154.5
1648.73;153.9
1648.736;153.6
1648.747;153.1
